@lat	@lon	addr:street	addr:housenumber	name
50.0477480	19.9024834	Wioślarska	1	Orlen
50.0652818	19.9505465	Zygmunta Augusta	1	Małopolski Ośrodek Medycyny Pracy
50.0948420	19.9512660	Siewna	28	Circle K Express
50.0812563	19.8480512	Zakliki z Mydlnik	16	FUP Kraków 23
50.0154672	20.0095678	Leonida Teligi	24	UP Kraków 38
50.0568317	19.9408365	Józefa Sarego	1	
50.0568079	19.9411545	Józefa Sarego	3	
50.0567773	19.9414334	Józefa Sarego	5	
50.0567508	19.9417267	Józefa Sarego	7	
50.0568938	19.9422616	Józefa Sarego	12	
50.0567015	19.9422576	Józefa Sarego	11	
50.0569371	19.9417625	Józefa Sarego	8	
50.0571859	19.9414897	Józefa Sarego	6	
50.0569944	19.9411474	Józefa Sarego	4	
50.0570295	19.9407860	Józefa Sarego	2	
50.0571873	19.9421630	Józefa Sarego	10	Mundo
50.0611316	19.9414639	Świętego Krzyża	4	Re
50.0514718	19.9417621	Krakowska	1	Gemini
50.0528743	19.9400451	Stradomska	15	Apteka Słoneczna
50.0542685	19.9395773	Świętej Gertrudy	24	Klinika Janeczko - medycyna estetyczna i dermatologia
50.0523823	19.9448611	Estery	3	Esterka
50.0503615	19.9488582	Świętego Wawrzyńca	18	Duffy's Irish Bar
50.0517173	19.9447786	Plac Nowy	4b	Bar Na Maxa
50.0532445	19.9490650	Starowiślna	56	Urząd Pocztowy Kraków 46
50.0658977	19.9304650	Karmelicka	23	Dr. Max
50.0632264	19.9403302	Floriańska	25	Muzeum Farmacji UJ
50.0575043	19.9366963	Senacka	2	Muzeum Geologiczne PAN
50.0556310	19.9367935	Kanonicza	25	Dom Długosza
50.0555407	19.9367061	Kanonicza	25	Rektorat Uniwersytetu Papieskiego Jana Pawła II
50.0549444	19.9386575	Grodzka	64	Instytut Polonistyki UJ
50.0633123	19.9417875	Szpitalna	21	Dom Pod Krzyżem
50.0633496	19.9359640	Plac Szczepański	9	Kamienica Szołayskich
50.0631883	19.9265845	Skarbowa	2	Teatr Groteska
50.0554747	19.9415137	Świętego Sebastiana	9	Muzeum Przyrodnicze PAN
50.0678314	19.9506939	Aleksandra Lubomirskiego	5a	
50.0514348	19.9487043	Szeroka	24	
50.0524093	19.9487538	Szeroka	16	
50.0513734	19.9443835	Beera Meiselsa	17	Centrum Kultury Żydowskiej
50.0508571	19.9496775	Dajwór	18	Żydowskie Muzeum Galicja
50.0486624	19.9434852	Plac Wolnica	1	Muzeum Etnograficzne
50.0880206	19.9683061	Dobrego Pasterza	100	Lewiatan Market
50.0608386	19.9404420	Mały Rynek	7	
50.0612761	19.9415289	Mikołajska	5	
50.0589286	19.9367769	Plac Wszystkich Świętych	3	
50.0632353	19.9369857	Sławkowska	4	DeCafencja
50.0631902	19.9429695	Plac Świętego Ducha	3	
50.0623082	19.9349286	Jagiellońska	8	
50.0618232	19.9344567	Świętej Anny	7	Trattoria Soprano
50.0628558	19.9352200	Jagiellońska	5	Poezja Smaku
50.0626174	19.9352877	Jagiellońska	6A	Dom Aukcyjny Rempex
50.0631354	19.9357477	Szczepańska	4	Restauracja Pino
50.0636209	19.9361546	Plac Szczepański	8	Pasieka
50.0637051	19.9363771	Plac Szczepański	8	Morskie Oko
50.0640328	19.9362856	Plac Szczepański	7	Kluska na Placu
50.0641583	19.9363632	Plac Szczepański	7	Gorzko Gorzko
50.0641540	19.9358288	Plac Szczepański	6/5	Old Town Hostel
50.0635805	19.9344469	Plac Szczepański	3a	Bunkier Sztuki
50.0635273	19.9348404	Plac Szczepański	2/9	Antique Apartments
50.0634133	19.9351467	Plac Szczepański	2	Scandale Royal
50.0629066	19.9368144	Szczepańska	1	Pod Złotym Tygrysem
50.0634887	19.9347486	Szczepańska	3	The Legends
50.0631550	19.9366497	Szczepańska	3	Szczepańska Apartments
50.0631803	19.9361590	Szczepańska	5	Trzy rybki
50.0631806	19.9365572	Szczepańska	5	Hotel Stary
